categorie,ca_ttc,ca_ht,annee,mois,mois_nom,date_id,hotel_id,hotel
HEBERGEMENT,3255510.426,3012409.019,2025,6,Juin,202506,2,BEL
RESTAURATION,54009.0,49975.942,2025,6,Juin,202506,2,BEL
BAR,35774.472,33103.056,2025,6,Juin,202506,2,BEL
DIVERS,5259.89,4867.114,2025,6,Juin,202506,2,BEL
HEBERGEMENT,5258469.89,4865799.842,2025,7,Juillet,202507,2,BEL
RESTAURATION,78433.0,72576.108,2025,7,Juillet,202507,2,BEL
BAR,38459.0,35587.118,2025,7,Juillet,202507,2,BEL
DIVERS,8642.42,7997.058,2025,7,Juillet,202507,2,BEL
HEBERGEMENT,5571087.718,5155073.304,2025,8,Aout,202508,2,BEL
RESTAURATION,89599.0,82908.301,2025,8,Aout,202508,2,BEL
BAR,40190.0,37188.859,2025,8,Aout,202508,2,BEL
DIVERS,2159.5,1998.242,2025,8,Aout,202508,2,BEL
HEBERGEMENT,3359323.869,3108470.315,2025,9,Septembre,202509,2,BEL
RESTAURATION,18459.0,17080.596,2025,9,Septembre,202509,2,BEL
BAR,27162.0,25133.71,2025,9,Septembre,202509,2,BEL
DIVERS,1945.022,1799.779,2025,9,Septembre,202509,2,BEL
HEBERGEMENT,2931624.43,2712708.828,2025,10,Octobre,202510,2,BEL
RESTAURATION,7869.0,7281.391,2025,10,Octobre,202510,2,BEL
BAR,22830.0,21125.197,2025,10,Octobre,202510,2,BEL
DIVERS,3634.5,3363.097,2025,10,Octobre,202510,2,BEL
HEBERGEMENT,1667145.501,1542653.373,2025,11,Novembre,202511,2,BEL
RESTAURATION,21859.0,20226.705,2025,11,Novembre,202511,2,BEL
BAR,25668.64,23751.864,2025,11,Novembre,202511,2,BEL
DIVERS,3408.03,3088.222,2025,11,Novembre,202511,2,BEL
HEBERGEMENT,1611243.241,1490925.55,2025,12,Decembre,202512,2,BEL
RESTAURATION,209542.373,193895.044,2025,12,Decembre,202512,2,BEL
BAR,26232.0,24273.157,2025,12,Decembre,202512,2,BEL
DIVERS,9966.42,9222.189,2025,12,Decembre,202512,2,BEL
HEBERGEMENT,888959.945,822577.907,2024,1,Janvier,202401,3,SOL
RESTAURATION,15370.0,14222.262,2024,1,Janvier,202401,3,SOL
BAR,14268.0,13202.554,2024,1,Janvier,202401,3,SOL
DIVERS,16552.88,15316.814,2024,1,Janvier,202401,3,SOL
HEBERGEMENT,1025440.167,948851.453,2024,2,Fevrier,202402,3,SOL
RESTAURATION,9841.492,9106.591,2024,2,Fevrier,202402,3,SOL
BAR,15061.5,13936.8,2024,2,Fevrier,202402,3,SOL
DIVERS,2632.98,2436.365,2024,2,Fevrier,202402,3,SOL
HEBERGEMENT,775846.98,717911.52,2024,3,Mars,202403,3,SOL
RESTAURATION,16237.5,15024.983,2024,3,Mars,202403,3,SOL
BAR,11240.5,10401.13,2024,3,Mars,202403,3,SOL
DIVERS,3232.551,2991.165,2024,3,Mars,202403,3,SOL
HEBERGEMENT,1890835.414,1749639.506,2024,4,Avril,202404,3,SOL
RESTAURATION,5903.0,5462.2,2024,4,Avril,202404,3,SOL
BAR,26560.83,24577.431,2024,4,Avril,202404,3,SOL
DIVERS,5041.02,4664.589,2024,4,Avril,202404,3,SOL
HEBERGEMENT,2653350.036,2455214.247,2024,5,Mai,202405,3,SOL
RESTAURATION,5475.0,5066.161,2024,5,Mai,202405,3,SOL
BAR,34936.5,32327.658,2024,5,Mai,202405,3,SOL
DIVERS,11865.002,10978.997,2024,5,Mai,202405,3,SOL
HEBERGEMENT,2776889.781,2569528.807,2024,6,Juin,202406,3,SOL
RESTAURATION,25594.0,23682.798,2024,6,Juin,202406,3,SOL
BAR,30095.0,27847.691,2024,6,Juin,202406,3,SOL
DIVERS,7590.4,7023.597,2024,6,Juin,202406,3,SOL
HEBERGEMENT,4768119.627,4412065.909,2024,7,Juillet,202407,3,SOL
RESTAURATION,74374.0,68820.209,2024,7,Juillet,202407,3,SOL
BAR,35544.0,32889.792,2024,7,Juillet,202407,3,SOL
DIVERS,4723.73,4370.991,2024,7,Juillet,202407,3,SOL
HEBERGEMENT,5160333.125,4774991.324,2024,8,Aout,202408,3,SOL
RESTAURATION,80451.0,74443.416,2024,8,Aout,202408,3,SOL
BAR,33227.0,30745.813,2024,8,Aout,202408,3,SOL
DIVERS,4726.46,4373.517,2024,8,Aout,202408,3,SOL
HEBERGEMENT,2965716.488,2744255.101,2024,9,Septembre,202409,3,SOL
RESTAURATION,20347.0,18827.611,2024,9,Septembre,202409,3,SOL
BAR,25554.0,23645.786,2024,9,Septembre,202409,3,SOL
DIVERS,1060.0,980.845,2024,9,Septembre,202409,3,SOL
HEBERGEMENT,2806201.08,2596651.319,2024,10,Octobre,202410,3,SOL
RESTAURATION,12271.5,11355.141,2024,10,Octobre,202410,3,SOL
BAR,29590.5,27380.864,2024,10,Octobre,202410,3,SOL
DIVERS,7446.07,6890.043,2024,10,Octobre,202410,3,SOL
HEBERGEMENT,1513302.124,1400298.071,2024,11,Novembre,202411,3,SOL
RESTAURATION,18252.0,16889.053,2024,11,Novembre,202411,3,SOL
BAR,21255.0,19667.808,2024,11,Novembre,202411,3,SOL
DIVERS,5592.52,5174.905,2024,11,Novembre,202411,3,SOL
HEBERGEMENT,1354309.887,1253178.389,2024,12,Decembre,202412,3,SOL
RESTAURATION,161862.197,149775.327,2024,12,Decembre,202412,3,SOL
BAR,22913.5,21202.461,2024,12,Decembre,202412,3,SOL
DIVERS,4642.72,4296.03,2024,12,Decembre,202412,3,SOL
